Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,13.2,13.2,12.95,13.05,13.05,4497
2022-01-28,13.2,13.2,12.95,13.05,13.05,5303
2022-01-27,13.05,13.2,12.95,13.05,13.05,5538
2022-01-26,13.25,13.25,12.95,13.05,13.05,6805
2022-01-25,13.25,13.25,13.05,13.05,13.05,1968
2022-01-24,13.05,13.25,12.8,13.05,13.05,4949
2022-01-21,13.2,13.2,12.9,13.15,13.15,1374
2022-01-20,13.25,13.25,12.95,13.15,13.15,915
2022-01-19,13.15,13.25,12.95,13.25,13.25,9522
2022-01-18,13.1,13.15,12.85,13.15,13.15,16265
2022-01-17,13.2,13.2,12.95,13.05,13.05,12703
2022-01-14,13.25,13.25,12.9,13.05,13.05,16823
2022-01-13,13.3,13.3,13.1,13.15,13.15,9242
2022-01-12,13.35,13.35,13.1,13.2,13.2,6786
2022-01-11,13.3,13.3,13.2,13.2,13.2,2532
2022-01-10,13.15,13.3,13.15,13.3,13.3,683
2022-01-07,13.25,13.35,13.15,13.15,13.15,3059
2022-01-06,13.3,13.3,13.1,13.15,13.15,4074
2022-01-05,13.3,13.3,13.15,13.25,13.25,2362
2022-01-04,13.35,13.35,13.1,13.2,13.2,5024
2022-01-03,13.35,13.35,13.25,13.3,13.3,2203
2021-12-31,13.35,13.4,13.35,13.35,13.35,1340
2021-12-30,13.35,13.35,13.2,13.35,13.35,3932
2021-12-29,13.1,13.3,13.1,13.3,13.3,2357
2021-12-28,13.05,13.25,13.05,13.1,13.1,4236
2021-12-27,13.1,13.25,13.05,13.05,13.05,1818
2021-12-24,13.3,13.3,12.95,13.1,13.1,5346
2021-12-23,13.2,13.25,13.1,13.25,13.25,2553
2021-12-22,13.3,13.3,13.1,13.15,13.15,5122
2021-12-21,13.4,13.4,13.2,13.3,13.3,867
2021-12-20,13.4,13.4,13.2,13.4,13.4,1093
2021-12-17,13.5,13.5,13.2,13.4,13.4,4770
2021-12-16,13.3,13.55,13.3,13.35,13.35,1255
2021-12-15,13.4,13.4,13.2,13.2,13.2,1828
2021-12-14,13.4,13.45,13.3,13.3,13.3,950
2021-12-13,13.45,13.45,13.3,13.4,13.4,526
2021-12-10,13.45,13.45,13.3,13.45,13.45,1015
2021-12-09,13.45,13.45,13.3,13.45,13.45,826
2021-12-08,13.5,13.5,13.25,13.25,13.25,2014
2021-12-07,13.5,13.5,13.25,13.5,13.5,1608
2021-12-06,13.45,13.5,13.4,13.5,13.5,345
2021-12-03,13.45,13.45,13.2,13.35,13.35,7356
2021-12-02,13.55,13.55,13.2,13.25,13.25,4501
2021-12-01,13.45,13.5,13.2,13.5,13.5,3478
2021-11-30,13.35,13.4,13.25,13.4,13.4,468
2021-11-29,13.6,13.6,13.4,13.4,13.4,830
2021-11-26,13.8,13.85,13.4,13.5,13.5,765
2021-11-25,13.6,13.9,13.6,13.65,13.65,1713
2021-11-24,13.65,13.75,13.65,13.65,13.65,768
2021-11-23,13.5,13.7,13.4,13.65,13.65,3360
2021-11-22,13.3,13.5,13.3,13.5,13.5,2504
2021-11-19,13.45,13.5,13.3,13.3,13.3,1369
2021-11-18,13.5,13.5,13.35,13.45,13.45,3375
2021-11-17,13.35,13.5,13.35,13.5,13.5,3084
2021-11-16,13.4,13.5,13.2,13.4,13.4,4084
2021-11-15,13.6,13.6,13.45,13.45,13.45,1412
2021-11-12,13.6,13.6,13.4,13.55,13.55,342
2021-11-11,13.4,13.6,13.4,13.6,13.6,448
2021-11-10,13.55,13.65,13.4,13.45,13.45,2778
2021-11-09,13.5,13.55,13.4,13.55,13.55,556
2021-11-08,13.4,13.5,13.3,13.5,13.5,1810
2021-11-05,13.35,13.55,13.35,13.5,13.5,830
2021-11-04,13.6,13.7,13.5,13.5,13.5,182
2021-11-03,13.35,13.7,13.35,13.35,13.35,4921
2021-11-02,13.45,13.45,13.3,13.45,13.45,1180
2021-11-01,13.55,13.55,13.2,13.4,13.4,6405
2021-10-29,13.45,13.55,13.25,13.55,13.55,3814
2021-10-28,13.5,13.65,13.25,13.3,13.3,6014
2021-10-27,13.55,13.55,13.25,13.4,13.4,3685
2021-10-26,13.5,13.65,13.2,13.4,13.4,8599
2021-10-25,13.45,13.55,13.2,13.4,13.4,7385
2021-10-22,13.5,13.7,13.3,13.45,13.45,6837
2021-10-21,13.65,13.7,13.5,13.6,13.6,5092
2021-10-20,13.65,13.65,13.45,13.6,13.6,1027
2021-10-19,13.55,13.65,13.55,13.6,13.6,2417
2021-10-18,13.45,13.7,13.45,13.6,13.6,3094
